,question,answer,model_answer,label
0,enormously,tremendously,appropriately,wrong
1,provisions,stipulations,jurisdictions,wrong
2,haphazardly,randomly,densely,guess
3,prominent,conspicuous,conspicuous,correct
4,zenith,pinnacle,pinnacle,correct
5,flawed,imperfect,imperfect,guess
6,urgently,desperately,desperately,correct
7,consumed,eaten,supplied,wrong
8,advent,coming,stability,wrong
9,concisely,succinctly,powerfully,guess
10,salutes,greetings,ceremonies,wrong
11,solitary,alone,restless,wrong
12,hasten,accelerate,accompany,wrong
13,perseverance,endurance,endurance,correct
14,fanciful,imaginative,imaginative,correct
15,showed,demonstrated,repeated,wrong
16,constantly,continually,continually,correct
17,issues,subjects,training,wrong
18,furnish,supply,protect,wrong
19,costly,expensive,expensive,correct
20,recognized,acknowledged,acknowledged,correct
21,spot,location,sea,wrong
22,make,earn,earn,correct
23,often,frequently,frequently,correct
24,easygoing,relaxed,boring,wrong
25,debate,argument,election,wrong
26,narrow,thin,freezing,wrong
27,arranged,planned,planned,correct
28,infinite,limitless,limitless,correct
29,showy,striking,entertaining,wrong
30,levied,imposed,correlated,guess
31,deftly,skillfully,skillfully,correct
32,distribute,circulate,research,wrong
33,discrepancies,differences,differences,guess
34,prolific,productive,productive,guess
35,unmatched,unequaled,alienated,guess
36,peculiarly,uniquely,partly,wrong
37,hue,color,glare,wrong
38,hind,rear,hairy,wrong
39,highlight,accentuate,alter,guess
40,hastily,hurriedly,hurriedly,correct
41,temperate,mild,windy,wrong
42,grin,smile,smile,correct
43,verbally,orally,fittingly,guess
44,physician,doctor,doctor,correct
45,essentially,basically,ordinarily,wrong
46,keen,sharp,sharp,correct
47,situated,positioned,isolated,wrong
48,principal,major,numerous,wrong
49,slowly,gradually,gradually,correct
50,built,constructed,constructed,correct
51,tasks,jobs,customers,wrong
52,unlikely,improbable,improbable,correct
53,halfheartedly,apathetically,customarily,guess
54,annals,chronicles,trails,wrong
55,wildly,furiously,furiously,correct
56,hailed,acclaimed,addressed,wrong
57,command,mastery,observation,wrong
58,concocted,devised,devised,correct
59,prospective,potential,potential,correct
60,generally,broadly,accurately,wrong
61,sustained,prolonged,prolonged,correct
62,perilous,dangerous,exciting,wrong
63,tranquillity,peacefulness,weariness,wrong
64,dissipate,disperse,disguise,wrong
65,primarily,chiefly,consistently,wrong
66,colloquial,conversational,misunderstood,wrong
67,resolved,settled,settled,correct
68,feasible,possible,equitable,wrong
69,expeditiously,rapidly,rapidly,correct
70,percentage,proportion,profit,guess
71,terminated,ended,postponed,wrong
72,uniform,alike,sharp,wrong
73,figure,solve,list,wrong
74,sufficient,enough,valuable,wrong
75,fashion,manner,manner,correct
76,marketed,sold,sold,guess
77,bigger,larger,larger,correct
78,roots,origins,function,wrong
79,normally,ordinarily,haltingly,guess
